id,model,date,metric_type,metric_value
99,Long Bull Model,2025-05-31,r2,0.0809
100,Long Bull Model,2025-05-31,hit_rate,5885.0
101,Long Bull Model,2025-05-31,r2,0.0809
102,Long Bull Model,2025-05-31,hit_rate,5885.0
103,QQQ Trading Signal,2025-05-31,hit_rate,26.3
104,Bitcoin Model,2025-05-31,hit_rate,50.22
105,Bitcoin Model,2025-05-31,hit_rate,50.22
106,Bitcoin Model,2025-05-31,hit_rate,50.22
107,Wishing Well QQQ Model,2025-05-31,hit_rate,30.0
108,Long Bull Model,2025-05-31,r2,0.0739
109,Long Bull Model,2025-05-31,hit_rate,6190.0
110,Long Bull Model,2025-05-31,r2,0.0739
111,Long Bull Model,2025-05-31,hit_rate,6190.0
112,QQQ Trading Signal,2025-05-31,hit_rate,26.3
113,Bitcoin Model,2025-05-31,hit_rate,50.22
114,Bitcoin Model,2025-05-31,hit_rate,50.22
115,Bitcoin Model,2025-05-31,hit_rate,50.22
116,Wishing Well QQQ Model,2025-05-31,hit_rate,30.0
117,Long Bull Model,2025-05-31,r2,0.0446
118,Long Bull Model,2025-05-31,hit_rate,5905.0
119,Long Bull Model,2025-05-31,r2,0.0446
120,Long Bull Model,2025-05-31,hit_rate,5905.0
121,QQQ Trading Signal,2025-05-31,hit_rate,26.3
122,Bitcoin Model,2025-05-31,hit_rate,50.23
123,Bitcoin Model,2025-05-31,hit_rate,50.23
124,Bitcoin Model,2025-05-31,hit_rate,50.23
125,Wishing Well QQQ Model,2025-05-31,hit_rate,30.0
126,Long Bull Model,2025-06-01,r2,0.0739
127,Long Bull Model,2025-06-01,hit_rate,6190.0
128,Long Bull Model,2025-06-01,r2,0.0739
129,Long Bull Model,2025-06-01,hit_rate,6190.0
130,QQQ Trading Signal,2025-06-01,hit_rate,26.3
131,Bitcoin Model,2025-06-01,hit_rate,50.23
132,Bitcoin Model,2025-06-01,hit_rate,50.23
133,Bitcoin Model,2025-06-01,hit_rate,50.23
134,Wishing Well QQQ Model,2025-06-01,hit_rate,30.0
135,Long Bull Model,2025-06-01,r2,0.054
136,Long Bull Model,2025-06-01,hit_rate,5667.0
137,Long Bull Model,2025-06-01,r2,0.054
138,Long Bull Model,2025-06-01,hit_rate,5667.0
139,QQQ Trading Signal,2025-06-01,hit_rate,26.3
140,Bitcoin Model,2025-06-01,hit_rate,50.24999999999999
141,Bitcoin Model,2025-06-01,hit_rate,50.24999999999999
142,Bitcoin Model,2025-06-01,hit_rate,50.24999999999999
143,Wishing Well QQQ Model,2025-06-01,hit_rate,30.0
144,Long Bull Model,2025-06-01,r2,0.054
145,Long Bull Model,2025-06-01,hit_rate,5667.0
146,Long Bull Model,2025-06-01,r2,0.054
147,Long Bull Model,2025-06-01,hit_rate,5667.0
148,QQQ Trading Signal,2025-06-01,hit_rate,26.3
149,Bitcoin Model,2025-06-01,hit_rate,50.24999999999999
150,Bitcoin Model,2025-06-01,hit_rate,50.24999999999999
151,Bitcoin Model,2025-06-01,hit_rate,50.24999999999999
152,Wishing Well QQQ Model,2025-06-01,hit_rate,30.0
153,Long Bull Model,2025-06-02,r2,0.054
154,Long Bull Model,2025-06-02,hit_rate,5667.0
155,Long Bull Model,2025-06-02,r2,0.054
156,Long Bull Model,2025-06-02,hit_rate,5667.0
157,QQQ Trading Signal,2025-06-02,hit_rate,26.3
158,Bitcoin Model,2025-06-02,hit_rate,50.24999999999999
159,Bitcoin Model,2025-06-02,hit_rate,50.24999999999999
160,Bitcoin Model,2025-06-02,hit_rate,50.24999999999999
