id,model,date,metric_type,metric_value
1,Long Bull Model,2025-05-22,hit_rate,5800.0
2,Long Bull Model,2025-05-22,hit_rate,5800.0
3,QQQ Trading Signal,2025-05-22,hit_rate,27.4
4,Algorand Model,2025-05-22,r2,0.9476
5,Algorand Model,2025-05-22,r2,0.9476
6,Algorand Model,2025-05-22,r2,0.9476
7,Bitcoin Model,2025-05-22,hit_rate,51.43
8,Bitcoin Model,2025-05-22,hit_rate,51.43
9,Bitcoin Model,2025-05-22,hit_rate,51.43
10,Wishing Well QQQ Model,2025-05-22,hit_rate,30.1
11,Long Bull Model,2025-05-23,hit_rate,5800.0
12,Long Bull Model,2025-05-23,hit_rate,5800.0
13,QQQ Trading Signal,2025-05-23,hit_rate,27.4
14,Algorand Model,2025-05-23,r2,0.9476
15,Algorand Model,2025-05-23,r2,0.9476
16,Algorand Model,2025-05-23,r2,0.9476
17,Bitcoin Model,2025-05-23,hit_rate,51.43
18,Bitcoin Model,2025-05-23,hit_rate,51.43
19,Bitcoin Model,2025-05-23,hit_rate,51.43
20,Wishing Well QQQ Model,2025-05-23,hit_rate,30.1
21,Long Bull Model,2025-05-24,r2,0.0064
22,Long Bull Model,2025-05-24,hit_rate,5780.0
23,Long Bull Model,2025-05-24,r2,0.0064
24,Long Bull Model,2025-05-24,hit_rate,5780.0
25,QQQ Trading Signal,2025-05-24,hit_rate,27.4
26,Algorand Model,2025-05-24,r2,0.9476
27,Algorand Model,2025-05-24,r2,0.9476
28,Algorand Model,2025-05-24,r2,0.9476
29,Bitcoin Model,2025-05-24,hit_rate,51.43
30,Bitcoin Model,2025-05-24,hit_rate,51.43
31,Bitcoin Model,2025-05-24,hit_rate,51.43
32,Wishing Well QQQ Model,2025-05-24,hit_rate,30.0
33,Long Bull Model,2025-05-24,r2,0.0064
34,Long Bull Model,2025-05-24,hit_rate,5780.0
35,Long Bull Model,2025-05-24,r2,0.0064
36,Long Bull Model,2025-05-24,hit_rate,5780.0
37,QQQ Trading Signal,2025-05-24,hit_rate,27.4
38,Algorand Model,2025-05-24,r2,0.9476
39,Algorand Model,2025-05-24,r2,0.9476
40,Algorand Model,2025-05-24,r2,0.9476
41,Bitcoin Model,2025-05-24,hit_rate,51.43
42,Bitcoin Model,2025-05-24,hit_rate,51.43
43,Bitcoin Model,2025-05-24,hit_rate,51.43
44,Wishing Well QQQ Model,2025-05-24,hit_rate,30.0
45,Long Bull Model,2025-05-26,r2,0.0809
46,Long Bull Model,2025-05-26,hit_rate,5885.0
47,Long Bull Model,2025-05-26,r2,0.0809
48,Long Bull Model,2025-05-26,hit_rate,5885.0
49,QQQ Trading Signal,2025-05-26,hit_rate,26.3
50,Bitcoin Model,2025-05-26,hit_rate,50.22
51,Bitcoin Model,2025-05-26,hit_rate,50.22
52,Bitcoin Model,2025-05-26,hit_rate,50.22
53,Wishing Well QQQ Model,2025-05-26,hit_rate,30.0
54,Long Bull Model,2025-05-26,r2,0.0809
55,Long Bull Model,2025-05-26,hit_rate,5885.0
56,Long Bull Model,2025-05-26,r2,0.0809
57,Long Bull Model,2025-05-26,hit_rate,5885.0
58,QQQ Trading Signal,2025-05-26,hit_rate,26.3
59,Bitcoin Model,2025-05-26,hit_rate,50.22
60,Bitcoin Model,2025-05-26,hit_rate,50.22
61,Bitcoin Model,2025-05-26,hit_rate,50.22
62,Wishing Well QQQ Model,2025-05-26,hit_rate,30.0
63,Long Bull Model,2025-05-27,r2,0.0809
64,Long Bull Model,2025-05-27,hit_rate,5885.0
65,Long Bull Model,2025-05-27,r2,0.0809
66,Long Bull Model,2025-05-27,hit_rate,5885.0
67,QQQ Trading Signal,2025-05-27,hit_rate,26.3
68,Bitcoin Model,2025-05-27,hit_rate,50.22
69,Bitcoin Model,2025-05-27,hit_rate,50.22
70,Bitcoin Model,2025-05-27,hit_rate,50.22
71,Wishing Well QQQ Model,2025-05-27,hit_rate,30.0
72,Long Bull Model,2025-05-28,r2,0.0809
73,Long Bull Model,2025-05-28,hit_rate,5885.0
74,Long Bull Model,2025-05-28,r2,0.0809
75,Long Bull Model,2025-05-28,hit_rate,5885.0
76,QQQ Trading Signal,2025-05-28,hit_rate,26.3
77,Bitcoin Model,2025-05-28,hit_rate,50.2
78,Bitcoin Model,2025-05-28,hit_rate,50.2
79,Bitcoin Model,2025-05-28,hit_rate,50.2
80,Wishing Well QQQ Model,2025-05-28,hit_rate,30.0
81,Long Bull Model,2025-05-29,r2,0.0809
82,Long Bull Model,2025-05-29,hit_rate,5885.0
83,Long Bull Model,2025-05-29,r2,0.0809
84,Long Bull Model,2025-05-29,hit_rate,5885.0
85,QQQ Trading Signal,2025-05-29,hit_rate,26.3
86,Bitcoin Model,2025-05-29,hit_rate,50.19
87,Bitcoin Model,2025-05-29,hit_rate,50.19
88,Bitcoin Model,2025-05-29,hit_rate,50.19
89,Wishing Well QQQ Model,2025-05-29,hit_rate,30.0
90,Long Bull Model,2025-05-30,r2,0.0809
91,Long Bull Model,2025-05-30,hit_rate,5885.0
92,Long Bull Model,2025-05-30,r2,0.0809
93,Long Bull Model,2025-05-30,hit_rate,5885.0
94,QQQ Trading Signal,2025-05-30,hit_rate,26.3
95,Bitcoin Model,2025-05-30,hit_rate,50.2
96,Bitcoin Model,2025-05-30,hit_rate,50.2
97,Bitcoin Model,2025-05-30,hit_rate,50.2
98,Wishing Well QQQ Model,2025-05-30,hit_rate,30.0
99,Long Bull Model,2025-05-31,r2,0.0809
100,Long Bull Model,2025-05-31,hit_rate,5885.0
101,Long Bull Model,2025-05-31,r2,0.0809
102,Long Bull Model,2025-05-31,hit_rate,5885.0
103,QQQ Trading Signal,2025-05-31,hit_rate,26.3
104,Bitcoin Model,2025-05-31,hit_rate,50.22
105,Bitcoin Model,2025-05-31,hit_rate,50.22
106,Bitcoin Model,2025-05-31,hit_rate,50.22
107,Wishing Well QQQ Model,2025-05-31,hit_rate,30.0
108,Long Bull Model,2025-05-31,r2,0.0739
109,Long Bull Model,2025-05-31,hit_rate,6190.0
110,Long Bull Model,2025-05-31,r2,0.0739
111,Long Bull Model,2025-05-31,hit_rate,6190.0
112,QQQ Trading Signal,2025-05-31,hit_rate,26.3
113,Bitcoin Model,2025-05-31,hit_rate,50.22
114,Bitcoin Model,2025-05-31,hit_rate,50.22
115,Bitcoin Model,2025-05-31,hit_rate,50.22
116,Wishing Well QQQ Model,2025-05-31,hit_rate,30.0
117,Long Bull Model,2025-05-31,r2,0.0446
118,Long Bull Model,2025-05-31,hit_rate,5905.0
119,Long Bull Model,2025-05-31,r2,0.0446
120,Long Bull Model,2025-05-31,hit_rate,5905.0
121,QQQ Trading Signal,2025-05-31,hit_rate,26.3
122,Bitcoin Model,2025-05-31,hit_rate,50.23
123,Bitcoin Model,2025-05-31,hit_rate,50.23
124,Bitcoin Model,2025-05-31,hit_rate,50.23
125,Wishing Well QQQ Model,2025-05-31,hit_rate,30.0
126,Long Bull Model,2025-06-01,r2,0.0739
127,Long Bull Model,2025-06-01,hit_rate,6190.0
128,Long Bull Model,2025-06-01,r2,0.0739
129,Long Bull Model,2025-06-01,hit_rate,6190.0
130,QQQ Trading Signal,2025-06-01,hit_rate,26.3
131,Bitcoin Model,2025-06-01,hit_rate,50.23
